# Source     : all
# Name       : sampledSurface
# Cells      : 559600
# Volume     : 4.859558e-09
# Scale factor: 1.000000e+00
# Time       	volIntegrateU
0.00186      	3.758023e-09 4.136994e-13 -6.476311e-19
0.00187      	3.769260e-09 4.193200e-13 -6.629896e-19
0.00188      	3.780414e-09 4.249352e-13 -6.783891e-19
0.00189      	3.791487e-09 4.305597e-13 -6.939066e-19
0.0019       	3.802478e-09 4.362515e-13 -7.100276e-19
0.00191      	3.813388e-09 4.420837e-13 -7.262908e-19
0.00192      	3.824217e-09 4.476628e-13 -7.424091e-19
0.00193      	3.834965e-09 4.532375e-13 -7.582270e-19
0.00194      	3.845634e-09 4.588515e-13 -7.744543e-19
0.00195      	3.856222e-09 4.645850e-13 -7.909389e-19
0.00196      	3.866731e-09 4.705200e-13 -8.074169e-19
0.00197      	3.877161e-09 4.761755e-13 -8.240933e-19
0.00198      	3.887511e-09 4.817131e-13 -8.407858e-19
0.00199      	3.897783e-09 4.872138e-13 -8.577470e-19
0.002        	3.907977e-09 4.926072e-13 -8.745732e-19
0.00201      	3.918093e-09 4.982367e-13 -8.916337e-19
0.00202      	3.928132e-09 5.039064e-13 -9.087243e-19
0.00203      	3.938093e-09 5.095976e-13 -9.259947e-19
0.00204      	3.947977e-09 5.152847e-13 -9.433078e-19
0.00205      	3.957785e-09 5.210770e-13 -9.606873e-19
0.00206      	3.967516e-09 5.268611e-13 -9.775380e-19
0.00207      	3.977172e-09 5.325333e-13 -9.949990e-19
0.00208      	3.986752e-09 5.382817e-13 -1.013488e-18
0.00209      	3.996257e-09 5.441436e-13 -1.031053e-18
0.0021       	4.005687e-09 5.499892e-13 -1.048510e-18
0.00211      	4.015043e-09 5.557721e-13 -1.066324e-18
0.00212      	4.024324e-09 5.615122e-13 -1.084407e-18
0.00213      	4.033532e-09 5.673557e-13 -1.102784e-18
0.00214      	4.042667e-09 5.732290e-13 -1.120155e-18
0.00215      	4.051729e-09 5.791131e-13 -1.138206e-18
0.00216      	4.060718e-09 5.849993e-13 -1.155963e-18
0.00217      	4.069635e-09 5.908822e-13 -1.173971e-18
0.00218      	4.078480e-09 5.968740e-13 -1.192312e-18
0.00219      	4.087253e-09 6.027775e-13 -1.211212e-18
0.0022       	4.095955e-09 6.086360e-13 -1.230892e-18
0.00221      	4.104587e-09 6.144408e-13 -1.250186e-18
0.00222      	4.113148e-09 6.202050e-13 -1.269201e-18
0.00223      	4.121639e-09 6.259111e-13 -1.288195e-18
0.00224      	4.130060e-09 6.316316e-13 -1.307090e-18
0.00225      	4.138412e-09 6.373053e-13 -1.326167e-18
0.00226      	4.146695e-09 6.430434e-13 -1.345197e-18
0.00227      	4.154910e-09 6.487011e-13 -1.364416e-18
0.00228      	4.163056e-09 6.542066e-13 -1.383583e-18
0.00229      	4.171134e-09 6.595664e-13 -1.402930e-18
0.0023       	4.179145e-09 6.647245e-13 -1.422257e-18
0.00231      	4.187089e-09 6.698193e-13 -1.441777e-18
0.00232      	4.194966e-09 6.748705e-13 -1.461269e-18
0.00233      	4.202776e-09 6.798351e-13 -1.480895e-18
0.00234      	4.210521e-09 6.847615e-13 -1.500494e-18
0.00235      	4.218200e-09 6.895775e-13 -1.520325e-18
0.00236      	4.225813e-09 6.943427e-13 -1.540294e-18
0.00237      	4.233362e-09 6.990488e-13 -1.560493e-18
0.00238      	4.240846e-09 7.037033e-13 -1.580666e-18
0.00239      	4.248265e-09 7.082444e-13 -1.601018e-18
0.0024       	4.255621e-09 7.126806e-13 -1.621289e-18
0.00241      	4.262913e-09 7.170159e-13 -1.641767e-18
0.00242      	4.270141e-09 7.211660e-13 -1.662180e-18
0.00243      	4.277307e-09 7.252092e-13 -1.682783e-18
0.00244      	4.284411e-09 7.290819e-13 -1.703307e-18
0.00245      	4.291452e-09 7.328698e-13 -1.723989e-18
0.00246      	4.298432e-09 7.365684e-13 -1.744749e-18
0.00247      	4.305350e-09 7.401528e-13 -1.765726e-18
0.00248      	4.312207e-09 7.436169e-13 -1.786647e-18
0.00249      	4.319004e-09 7.469445e-13 -1.807873e-18
