theta phi g por re h11 h22 h33
0.0 90.0 0.01 0.8 0.00587722987919 0.00707986138053 0.00707986138053 0.0124358931739
0.0 90.0 1 0.8 1 0.00707986138053 0.00707986138053 0.0124358931739
0.0 90.0 10 0.8 10 0.00707986138053 0.00707986138053 0.0124358931739
0.0 90.0 100 0.8 100 0.00707986138053 0.00707986138053 0.0124358931739
22.5 90.0 0.01 0.8 0.00587722987919 0.00707986138053 0.00707986138053 0.0124358931739
22.5 90.0 1 0.8 1 0.00707986138053 0.00707986138053 0.0124358931739
22.5 90.0 10 0.8 10 0.00707986138053 0.00707986138053 0.0124358931739
22.5 90.0 100 0.8 100 0.00707986138053 0.00707986138053 0.0124358931739
45.0 90.0 0.01 0.8 0.00587722987919 0.00707986138053 0.00707986138053 0.0124358931739
45.0 90.0 1 0.8 1 0.00707986138053 0.00707986138053 0.0124358931739
45.0 90.0 10 0.8 10 0.00707986138053 0.00707986138053 0.0124358931739
45.0 90.0 100 0.8 100 0.00707986138053 0.00707986138053 0.0124358931739
0.0 22.5 0.01 0.4 0.000389712245165 0.000106879389824 0.000106942503525 0.000772520790595
0.0 22.5 800.0 0.4 21.8351807848 0.000109054162293 0.00010219976346 0.00019546
22.5 22.5 0.01 0.4 0.000389571403471 0.000106879389824 0.000106942383461 0.000772520791369
22.5 67.5 0.01 0.4 0.000889318628604 0.000106879389824 0.000106942881079 0.000772520790688
45.0 0.0 0.01 0.4 0.000139651311295 0.000106879389824 0.000106942661553 0.000772520791849
45.0 22.5 2200.0 0.4 54.3608416707 0.00010694454 0.000101187150369 0.00017405172
45.0 45.0 0.01 0.4 0.00068656989323 0.000106879389824 0.000106943063824 0.000772520791422
45.0 45.0 900.0 0.4 44.2039021281 0.000106725067422 0.000107018859278 0.000551473787565
45.0 67.5 150.0 0.4 13.2141748022 0.000107007740505 0.000107030552 0.000765921422959
0.0 22.5 6.0 0.6073009183 0.849029171932 0.00156964339746 0.00156779227999 0.00386666410467
0.0 67.5 220.0 0.6073009183 48.1118272145 0.00151431133288 0.00127184542486 0.00344766140492
22.5 22.5 60.0 0.6073009183 7.94947738193 0.00152891161785 0.00143032086549 0.0033991235
45.0 0.0 100.0 0.6073009183 9.84210294365 0.00140285402077 0.00140264617266 0.00349496936274
45.0 22.5 400.0 0.6073009183 44.5810542662 0.000602612350325 0.00112701099757 0.003119576452
45.0 45.0 386.0 0.6073009183 63.7029979874 0.00119346934883 0.00119289554129 0.00321326377579
45.0 67.5 0.01 0.6073009183 0.00254954965337 0.00156944065927 0.00156942668719 0.00387305932137
22.5 0.0 600.0 0.6073009183 40.7833137428 0.00109588157804 0.000472498093217 0.00285523017672
22.5 45.0 0.01 0.6073009183 0.00206309700417 0.00156944076661 0.00156942673718 0.00387305995381
22.5 67.5 5.0 0.6073009183 1.27425084168 0.00156939792324 0.00156926564595 0.00387259573619
0.0 22.5 0.01 0.6073009183 0.00141866102089 0.00156944080969 0.00156942670065 0.00387305996604
0.0 22.5 150.0 0.8 33.8674449985 0.004306144 0.00382638784117 0.0104319323655
45.0 22.5 30.0 0.8 9.80884582968 0.00610380858121 0.00610423603464 0.0120041823442
45.0 67.5 25.0 0.8 13.4963745144 0.006152 0.00683425558439 0.012307065993
22.5 0.0 1 0.4 95 0.000103227903515 0.000103227903515 0.000334586308032
0.0 90.0 1 0.4 65 0.000103227903515 0.000103227903515 0.000334586308032
45.0 0.0 1 0.4 90 0.000103227903515 0.000103227903515 0.000334586308032
45 90 1 0.4 40 0.00013227903515 0.000103227903515 0.000334586308032
0 90 1 0.4 40 0.00013227903515 0.000103227903515 0.000334586308032
22.5 90 1 0.4 40 0.00013227903515 0.000103227903515 0.000334586308032
0 67.5 1 0.4 40 0.0001227903515 0.000103227903515 0.000334586308032
45 0 1 0.4 10 0.0001227903515 0.000103227903515 0.000334586308032
45 0 1 0.4 50 0.0001227903515 0.000103227903515 0.000334586308032
